id,name,author,slug,published,created,modified,path,comments,game_position,ludum_dare_version,data_authors,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
248335,Don't Drown,"[12591, 3608]",dont-drown,2021-04-26T21:39:16Z,2021-04-25T00:41:37Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/dont-drown,22,55,48,https://api.ldjam.com/vx/node2/get/12591+3608,93.334560620306,27,21.125,25.25,4.25,55,4.125,77,4.083,107,4.458,31,4.13,392,3.841,308,2.976,670,4.063,252,-1.2903766414351
251326,Dungeon Blast,[155],dungeon-blast,2021-04-26T19:39:19Z,2021-04-26T18:36:17Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/dungeon-blast,38,55,48,https://api.ldjam.com/vx/node2/get/155,142.08272238383,94,80.75,54.666666666667,4.25,55,4.087,91,3.279,838,3.422,1198,4.5,82,4,,3.5,,3.98,322,3.2425580270346
252486,Bucket Head,[11936],bucket-head,2021-04-27T00:55:40Z,2021-04-27T00:43:12Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/bucket-head,15,55,48,https://api.ldjam.com/vx/node2/get/11936,73.251987403323,12,11,21.5,4.25,55,4.125,77,4,153,3.975,446,4.525,72,3.425,723,2.971,678,3.842,465,-14.946825143376
240615,Far Fetched,"[3745, 184978, 154208, 239559, 240921, 185068]",far-fetched,2021-04-27T01:48:31Z,2021-04-20T17:35:43Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/far-fetched,33,59,48,https://api.ldjam.com/vx/node2/get/3745+184978+154208+239559+240921+185068,100,22,51.25,52.25,4.245,59,3.97,176,3.46,628,4.029,368,4.461,105,4.53,8,3.633,262,4.24,119,-30.124187961919
233543,​Nyctophobia ,[216194],nyctophobia,2021-04-27T00:30:50Z,2021-02-13T08:53:52Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/nyctophobia,47,60,48,https://api.ldjam.com/vx/node2/get/216194,85.73701255698,28,38.5,61,4.242,60,4.153,69,3.459,630,3.508,1093,4.565,61,,,3,646,4.685,2,-31.330886459256
241305,Drop.N3T,"[169340, 169425, 244479]",drop-n3t,2021-04-26T21:38:19Z,2021-04-21T16:43:59Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/drop-n3t,25,61,48,https://api.ldjam.com/vx/node2/get/169340+169425+244479,102.70318985056,30,28.875,28.375,4.241,61,4.37,18,3.704,376,4.315,90,4.667,26,4.389,33,2.413,1128,4.058,254,1.9294382875251
252135,Into the Matrix,"[1960, 2812, 221316, 202164]",into-the-matrix,2021-04-27T01:56:00Z,2021-04-26T23:26:29Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/into-the-matrix,27,62,48,https://api.ldjam.com/vx/node2/get/1960+2812+221316+202164,143.77319537145,21,42.375,24.571428571429,4.239,62,4.391,16,3.565,512,3.543,1052,4.348,180,,,2.8,806,4.043,270,0.85107917588275
245330,Unpaid Serenade for Future Solution Group [2026 eCon Grief/Heartbreak Singalong],"[38569, 12083, 12070]",unpaid-serenade-for-future-solution-group-2026-econ-griefheartbreak-singalong,2021-04-26T19:00:49Z,2021-04-23T23:07:18Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/unpaid-serenade-for-future-solution-group-2026-econ-griefheartbreak-singalong,33,63,48,https://api.ldjam.com/vx/node2/get/38569+12083+12070,114.31957626427,51,47.375,37.25,4.236,63,3.486,686,4.028,136,3.389,1239,4.514,80,4.194,86,3.567,298,4.569,10,2.8991510855053
234024,Disco Inferno,"[25021, 26231, 91644, 3784, 93735, 252079]",disco-inferno,2021-04-26T23:56:29Z,2021-02-25T18:27:20Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/disco-inferno,65,64,48,https://api.ldjam.com/vx/node2/get/25021+26231+91644+3784+93735+252079,104.11988590012,188,74.125,69.375,4.228,64,4.191,59,3.199,926,3.809,701,4.309,219,4.388,34,4.311,29,4.235,123,-5.5575174813359
238000,The Dwarves of Mt. Deep,"[180346, 188272, 238574]",the-dwarves-of-mt-deep,2021-04-27T00:36:37Z,2021-04-13T20:43:54Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/the-dwarves-of-mt-deep,18,65,48,https://api.ldjam.com/vx/node2/get/180346+188272+238574,73.0553122756,0,11.875,23.25,4.227,65,4.182,61,4.091,103,4.386,59,4.091,428,4.409,26,3.417,388,3.95,347,-28.533036431366
