author,count,file_name,team_size,ludum_dare_version,game_link,id,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
1870,2,ludum_dare_games_48.csv,1,48,/events/ludum-dare/48/aquarial,242125,82.416338369213,36,27.0,40.75,4.218,71,4.218,53.0,3.936,194.0,3.577,1002.0,4.474,95.0,4.013,179.0,4.256,47.0,4.295,89.0,-15.530270894627
1870,2,ludum_dare_games_46.csv,1,46,/events/ludum-dare/46/aviarium,183991,94.957617664632,11,33.25,37.875,4.203,59,3.959,169.0,4.125,70.0,3.527,1512.0,4.25,335.0,3.917,244.0,2.733,1350.0,4.097,184.0,-39.428523188451
7020,1,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/deep-bomb-galactic,237956,94.676980148018,13,21.625,25.125,4.217,72,4.229,49.0,3.625,452.0,3.917,535.0,3.854,695.0,3.69,440.0,2.955,689.0,3.87,429.0,-8.4017254396185
237173,1,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/deep-bomb-galactic,237956,94.676980148018,13,21.625,25.125,4.217,72,4.229,49.0,3.625,452.0,3.917,535.0,3.854,695.0,3.69,440.0,2.955,689.0,3.87,429.0,-8.4017254396185
250449,1,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/deep-bomb-galactic,237956,94.676980148018,13,21.625,25.125,4.217,72,4.229,49.0,3.625,452.0,3.917,535.0,3.854,695.0,3.69,440.0,2.955,689.0,3.87,429.0,-8.4017254396185
4036,1,ludum_dare_games_48.csv,1,48,/events/ludum-dare/48/neckdeep,242681,108.48020926005,25,26.625,23.625,4.217,72,3.841,264.0,4.455,12.0,4.364,65.0,4.068,452.0,3.786,348.0,4.568,5.0,3.921,379.0,3.5939540565624
3785,1,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/vast-trivia-of-the-void,242733,58.736700622354,70,34.5,104.25,4.212,74,4.019,134.0,3.649,426.0,3.168,1456.0,4.709,16.0,4.354,41.0,4.071,91.0,4.061,253.0,-32.037233396942
237150,1,ludum_dare_games_48.csv,1,48,/events/ludum-dare/48/pogofall,237868,79.301070571679,10,7.625,21.0,4.211,75,4.579,3.0,4.053,121.0,3.556,1026.0,,,,,3.824,172.0,,,-25.092649819186
240509,1,ludum_dare_games_48.csv,2,48,/events/ludum-dare/48/deep-into-the-woods,243267,111.92355301915,23,29.125,24.25,4.196,78,3.87,239.0,4.022,140.0,4.152,216.0,4.37,164.0,3.87,283.0,2.941,704.0,4.109,215.0,2.4453488692898
241377,1,ludum_dare_games_48.csv,2,48,/events/ludum-dare/48/deep-into-the-woods,243267,111.92355301915,23,29.125,24.25,4.196,78,3.87,239.0,4.022,140.0,4.152,216.0,4.37,164.0,3.87,283.0,2.941,704.0,4.109,215.0,2.4453488692898
197255,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/frog,236548,100.0,169,106.75,113.875,4.192,79,4.152,70.0,3.929,200.0,3.036,1564.0,4.496,87.0,4.275,64.0,3.636,258.0,4.089,229.0,-26.970325665978
237775,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/frog,236548,100.0,169,106.75,113.875,4.192,79,4.152,70.0,3.929,200.0,3.036,1564.0,4.496,87.0,4.275,64.0,3.636,258.0,4.089,229.0,-26.970325665978
236436,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/frog,236548,100.0,169,106.75,113.875,4.192,79,4.152,70.0,3.929,200.0,3.036,1564.0,4.496,87.0,4.275,64.0,3.636,258.0,4.089,229.0,-26.970325665978
148476,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/frog,236548,100.0,169,106.75,113.875,4.192,79,4.152,70.0,3.929,200.0,3.036,1564.0,4.496,87.0,4.275,64.0,3.636,258.0,4.089,229.0,-26.970325665978
245806,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/frog,236548,100.0,169,106.75,113.875,4.192,79,4.152,70.0,3.929,200.0,3.036,1564.0,4.496,87.0,4.275,64.0,3.636,258.0,4.089,229.0,-26.970325665978
26971,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/barkcheology,237045,119.17591430622,15,24.5,20.857142857143,4.184,81,4.079,95.0,4.053,121.0,4.105,268.0,4.526,71.0,4.395,30.0,,,4.278,103.0,3.8637147076722
